日期,日产气量,日产水量,井底流压,地层压力,累积产气量/104m3
2012/12/6,10.47224062,79.341008,75.19876986,75.87786315,10.47224062
2012/12/7,19.27767477,79.94108,74.82795882,75.8783178,29.74991539
2012/12/8,19.22957458,78.243496,74.71937318,75.8787689,48.97948997
2012/12/9,19.64787621,78.046152,74.72314774,75.87922734,68.62736618
2012/12/10,19.58297595,78.74996,74.7225571,75.87968175,88.21034213
2012/12/11,19.11137413,79.651072,74.71832044,75.88012282,107.3217163
2012/12/12,19.18627442,79.749608,75.11908248,75.88056323,126.5079907
2012/12/13,19.47057552,78.645008,75.31618574,75.88100771,145.9785662
2012/12/14,19.2850748,78.849984,75.3145229,75.88144553,165.263641
2012/12/15,19.35907509,78.550912,75.31518445,75.88188259,184.6227161
2012/12/16,21.72148425,78.649128,75.22948773,75.88237008,206.3442003
2012/12/17,26.61250322,79.151368,75.02419375,75.88296316,232.9567035
2012/12/18,28.23350951,79.252136,75.09845525,75.88358732,261.1902131
2012/12/19,28.27870968,79.150576,75.09903551,75.88420728,289.4689227
2012/12/20,27.97680851,79.546856,75.12759325,75.88481551,317.4457312
2012/12/21,27.78080775,79.244752,75.13591502,75.88541443,345.226539
2012/12/22,27.60770708,79.448496,75.13373551,75.88600464,372.8342461
2012/12/23,27.77470773,78.94752,75.14664324,75.88659342,400.6089538
2012/12/24,27.71770751,78.24736,75.15672943,75.88717598,428.3266613
2012/12/25,27.93580835,78.747152,75.15948765,75.88775807,456.2624697
2012/12/26,27.73820759,79.051736,75.15698781,75.88833102,484.0006772
2012/12/27,27.75400765,79.253664,75.167992,75.88889928,511.7546849
2012/12/28,28.13160911,,75.17278601,75.88947015,539.886294
2012/12/29,28.18710933,,75.17349584,75.89003699,568.0734033
2012/12/30,26.99280469,,75.23415011,75.89057496,595.066208
2012/12/31,16.3473634,,74.69544393,75.89089847,611.4135714
2013/1/1,0,,74.84612778,75.89089847,611.4135714
2013/1/2,0,,75.64627924,75.89089847,611.4135714
2013/1/3,0,,75.64627924,75.89089847,611.4135714
2013/1/4,0,,75.57062717,75.89089847,611.4135714
2013/1/5,19.7230765,,75.66422086,75.89128646,631.1366479
2013/1/6,43.34166811,,73.71064539,75.89213017,674.478316
2013/1/7,57.86682444,,72.39860727,75.89323759,732.3451405
2013/1/8,76.56909698,,69.35697661,75.89466942,808.9142375
2013/1/9,21.10268185,,66.93609817,75.89505733,830.0169193
2013/1/10,0,,75.82997309,75.89505733,830.0169193
2013/1/11,0,,73.10209606,75.89505733,830.0169193
2013/1/12,43.572169,,70.81127688,75.89584911,873.5890883
2013/1/13,63.33824566,,72.36446142,75.89697803,936.927334
2013/1/14,62.05234068,,72.33891053,75.89805871,998.9796746
2013/1/15,62.0853408,,72.33983453,75.89911489,1061.065015
2013/1/16,61.96994036,,71.95822419,75.90014409,1123.034956
2013/1/17,61.85953993,,72.16056837,75.90114653,1184.894496
2013/1/18,76.05359498,,69.85838155,75.90234486,1260.948091
2013/1/19,64.12744873,,72.23586627,75.90332602,1325.075539
2013/1/20,62.75944342,,72.15346267,75.90426034,1387.834983
2013/1/21,62.76174343,,72.17514642,75.90516906,1450.596726
2013/1/22,62.7029432,,72.13024261,75.90605132,1513.299669
2013/1/23,63.15144494,,71.90515227,75.90691404,1576.451114
2013/1/24,65.18445282,,72.06139105,75.90777731,1641.635567
2013/1/25,63.62274677,,72.04838925,75.90859323,1705.258314
2013/1/26,63.60364669,,71.98297986,75.90938257,1768.861961
2013/1/27,63.5798466,,71.93905202,75.9101453,1832.441807
2013/1/28,63.54764648,,71.9381266,75.91088136,1895.989454
2013/1/29,63.51594635,,71.91559282,75.91159079,1959.5054
2013/1/30,62.9353441,,72.03954489,75.91226784,2022.440744
2013/1/31,63.20844516,,71.85271708,75.91292189,2085.649189
2013/2/1,64.27914931,,71.86196707,75.91356034,2149.928339
2013/2/2,64.60775059,,71.87154364,75.91417497,2214.536089
2013/2/3,64.57185045,,71.80562884,75.9147621,2279.10794
2013/2/4,64.50035017,,71.83597555,75.9153215,2343.60829
2013/2/5,64.51525023,,71.79316433,75.91585395,2408.12354
2013/2/6,63.5785466,,71.88495625,75.91635216,2471.702087
2013/2/7,64.24284917,,71.78522908,75.91682885,2535.944936
2013/2/8,64.42344987,,71.79048649,75.91727992,2600.368386
2013/2/9,64.4054498,,71.78996186,75.91770386,2664.773836
2013/2/10,64.31234944,,71.74400024,75.91810025,2729.086185
2013/2/11,64.26284925,,71.69930632,75.91846944,2793.349034
2013/2/12,64.2252491,,71.61169715,75.91881157,2857.574283
2013/2/13,64.17684892,,71.68599159,75.91912663,2921.751132
2013/2/14,64.20654903,,71.65441224,75.91941501,2985.957681
2013/2/15,64.16324886,,71.64233875,75.91967639,3050.12093
2013/2/16,64.06254847,,71.52043967,75.91991063,3114.183479
2013/2/17,63.84524763,,71.67637852,75.92011751,3178.028726
2013/2/18,63.80194746,,71.6859416,75.92029774,3241.830674
2013/2/19,63.91204789,,71.68912572,75.92045173,3305.742722
2013/2/20,63.84324762,,71.62224473,75.920579,3369.585969
2013/2/21,63.76764733,,71.65250561,75.92067965,3433.353617
2013/2/22,63.72444716,,71.6404426,75.92075379,3497.078064
2013/2/23,63.73924722,,71.60842272,75.92080152,3560.817311
2013/2/24,63.66814694,,71.5955539,75.92082279,3624.485458
2013/2/25,63.65154688,,71.63833906,75.92081769,3688.137005
2013/2/26,63.5288464,,71.52663588,75.92078631,3751.665851
2013/2/27,46.36757984,,73.05807767,75.92074682,3798.033431
2013/2/28,63.28894547,,71.74688217,75.92067034,3861.322377
2013/3/1,63.26494538,,71.67048736,75.92056784,3924.587322
2013/3/2,63.25704535,,71.7027079,75.9204393,3987.844367
2013/3/3,63.25634535,,71.62697595,75.92028473,4051.100713
2013/3/4,63.18614507,,71.65741404,75.92010433,4114.286858
2013/3/5,63.07964466,,71.6327343,75.91989831,4177.366502
2013/3/6,62.84384375,,71.60437076,75.91966732,4240.210346
2013/3/7,62.90254397,,71.64931241,75.91941037,4303.11289
2013/3/8,62.86434383,,71.59413717,75.91912785,4365.977234
2013/3/9,62.89304394,,71.5841375,75.91881947,4428.870278
2013/3/10,62.71784326,,71.58996674,75.91848631,4491.588121
2013/3/11,62.77234347,,71.60233498,75.91812722,4554.360465
2013/3/12,62.79374355,,71.52721583,75.91774236,4617.154208
